,tweet,replies
0,"子どもの2度目の傷つきは深いという指摘を内田良子さんも書いている。不登校状態からどうにか回復して、学校や居場所、社会に出た時に、再び痛めつけられたとき、傷から立ち直るのが、とても大変。
#不登校 が身近でないと理解出来ないかもしれ… https://t.co/YDIPg6ccie",[]
1,"宝塚はハラスメントを反省、改革を踏み出せてよかったけど、
子役に対する現場の酷さは、
業界全体で改善しなくてはいけないと思います。
小学低学年の子役に対し、
「大人の役者さんが演技中は座ってはだめ」
「他にかわりはいくらでもいるん… https://t.co/DiqvT1t04k",[]
2,学校で傷害事件が起きても性犯罪が起きても治外法権で、軽い処分。 https://t.co/bVC7FbVIxw,[]
3,"私も都内の病院で酷い虐待、性暴力が起きているのに、隠蔽され、警察も立件しないという酷さを見たので、むしろ、警察がまともに動いたことに、驚いています。
都内の案件もちゃんと被害届受理しようよ。 https://t.co/MONIFJglag",[' これは、看護師同士が仲間内で盛り上がるために、自分たちの行いを動画に撮り、シェアしたものがたまたま別の事件の取り調べ時に見つかったからですね。精神科閉鎖病棟内は自殺などの防止目的で、ほぼあらゆる物の持ち込みが… https://t.co/yob0df4gbr']
4,"#スガやめろ
#メディアもスガ忖度やめろ https://t.co/fiO3H4I2m3",[]
5,全国学校ハラスメント被害者連絡会お子さんが　#TikTok にアップしてくれました。 https://t.co/NzVOtyHIer,['ョンも制作中']
6,（根津朝彦のメディア私評）ジェンダー平等　まずはメディアが範を示せ：朝日新聞デジタル https://t.co/10rWfgPFvE,[]
7,都内電車はずっと密でしたからね。映画館、劇場の規制とのバランスが悪いなと思ってました。 https://t.co/gIq8DUBxaa,[]
8,たった半日で発言を翻した菅氏 https://t.co/tIk8NZ35Fo,"[' 観測気球、強風に煽られた。', ' 10年も首相をやるわけないから、後任の首相はやるし自分は関係ない、ここでは選挙用リップサービスと言う理屈な気がする。', ' 何にも考えていない、総理大臣にしてはいけない人物ということは、よく分かりました💢😠💢', ' ？\n10％引き上げのときもだけど、なるだけ経済にダメージ与えないように引き伸ばしたんやで。\n今後増税はするけど10年以内にはないって意味やろ', ' 消費税誕生秘話\n「物品税何とかならない？」\n「国民から少しづつ徴収すれば文句は出ない」\n「消費税を作るか」\n「国民が反発するだろ？」\n「社会保障で借金が増えたことにしよう」\n「社会保障が欲しければ消費税を払え… https://t.co/Y12w6NTo9G', ' きっと「やっべー、つい本音言ったら非難轟々だわー、よし！いつもの晋三作戦発動だ！バイト代は払ってるからきっと誤魔化してくれるよ。パンケーキ食べたーいパンケーキ食べたーい」ってな感じでしょうね', ' ポンコツ過ぎて、先が思いやられる！', ' @hannahumming 最初の原稿に書き忘れたのです。', ' @kurumin14626415 選挙の為なら、党の為なら、派閥の為なら\n何でもやる\n嘘ぐらいどってことないよってことだね\nこの人は自分の意見を持たない、持てない人', ' そんな先まで見越して、言及できるけど、少子化は一向に改善するつもりがない模様。', ' さすがあの人の後釜！', ' 人間って、不意に口をついて出た言葉が本心！だったりする。\n\n直ぐ撤回なんて信用ゼロじゃないですか！', ' 想像以上にガースーはペラい。会見で何も答えなかったのは、単に答えられなかったのを虚勢張ってただけなんだと更に確信が持てた。軽蔑って言葉じゃ表現が弱いくらい', ' 頭、悪いですよね！\n増税を言える政治家がカッコいいとか思ってるんじゃ？\n石原もそんな事、言ってたし流行ってる？まず、上げられる環境にしてからだよね。', ' 安倍のエゴサ癖をしっかり継承してるらしいなwww', ' @nasukoB 経済のセンスがないことがバレてます。', ' @akg0011 頭が悪すぎ。先が見える感じです。所詮、安倍晋三の尻なめ政権😝🥰', ' @nasukoB 菅は、日頃から、経済、財政、国民生活について、深く考えていないことがよく分かりました。どんな政治家だ？', ' 朝令暮改の典型ですね。言葉に信用性は無い。', ' 以外に批判には弱いのかも知れないねｗ\n安倍政権のときはNo.2の立場で「問題ない」で押し切ってたけど。', ' まだ総理大臣になっていないのに「増税するぞ！」なんて発言はヤバイ、ということにお気づきになられたのでしょうね。', ' 毎日、毎日、ポンコツぶりを露呈しつづけて。', ' @sugawitter\n舌の根も乾かぬうちに言葉を翻すような人は信用おけない。#総裁選 から離脱すべき。\nむしろ今は減税が必要。ただし、選挙の直前とかで減税言い出すようなら、これも信用なりませんがね😡💢', ' そして、総理になった途端に、また翻すとみた。', ' 9月08日 スガ｢自衛隊の立ち位置が､憲法中で否定されている｡(だから改憲を…)｣\n9月09日 スガ｢言葉足らずで､一部のひとの誤解を招いた｣\n\n9月10日 スガ｢消費税というのは引き上げざるをえない｣\n9月… https://t.co/EWlFeswo0N', ' ある意味想定内の言動ですよね。\n安定の、信頼感の無さ…', ' 流石、嘘と誤魔化しと責任逃れの安倍政権の後継者。\n素晴らしい。', ' 「そういう意味で言ったんじゃない」みたいな事を後から言う政治家って何なんだろう。\n自らの発する言葉の影響力を全く顧慮していない浅はかな人は政治家になるべきじゃないと思う。', ' 明日にはまた増税ですよ。', ' @nasukoB この発言で菅さんをリアリストと評した評論家もいらっしゃるようだけど、一晩様子見て即訂正したポピュリストとの間違いではと思いました。全然想定内ですね。', ' 信頼性は全く無いですよね。']"
9,"長女が産まれたばかりの時、
授乳しながら911の
飛行機がビルに突っ込んでいく映像をみてフリーズした。
今でも忘れられない。

空に黒煙 19年前の「世紀末」
#Yahooニュース
https://t.co/ysz0c7Zsl5",[]
