,tweet,replies
0,そう考えてみると需要が飽和して経済が成長していない今の日本の状況はむしろ幸福の高原に近づいており、米国のような消費社会の方がディストピアに向かってるという考え方もできるのかも知れません。もちろん日本でも格差の解消と財政の健全化といった問題をクリアしなければいけないわけですが。,"[' ゼロ成長のもと幸福の高原状態に至るという仮説には、日本人が知足を識り五欲を棄てることが前提として必要と思います。欲望の度合いが日本より強い米国が相対的に厳しいという考えには同意です。格差解消、財政健全… https://t.co/gAfrDpV6Dp', ' はい、これからは文化の時代に入るといいなあと思います。\n狭義の文化ではなくて、優しさとか思いやりも含む・・本当の意味で成熟した社会になるといいですね。', ' 同感です。\n発想の転換が必要ですね。\n向かうべき方向を変える。', ' 地価の均一化\n空飛ぶ車\nリモートワーク\nエネルギーの自立\nオフグリット\n水の自立\n結露貯水\n食の自立\nダーチャ\n浄化土生産\n医食同源\n環境革命\n排出権取引単価引き上げ\n箪笥預金の樹木葬投資\n生前葬の税… https://t.co/odfawNKmHW', ' 眼から鱗です。成熟社会をもっと正面から是とできれば色々楽になる気がします。\nところで財政健全化ってやっぱりしないといけないでしょうか。MMTについては何かご見解ありますか？', ' いつも勉強になります！']"
1,老子もディオゲネスも「足るを知る人は幸福だ」と説いたけど、皆がそうなってしまうと需要は飽和して経済成長はストップします。つまり経済成長を求め続けるというのは「永遠に幸福になることを永遠に延期する」ということなんですよね。,"[' 知足を識る者は五欲（食欲、財欲、性欲、名誉欲、睡眠欲）に囚われないので、欲望をドライバーとする資本主義は成立しなくなる。ご指摘の通り経済成長の追求は幸福になることを放棄することに。ただそうかと言って五… https://t.co/CICOnm56s0', ' 「ああ、君たち安楽で善良な方々よ、君たちは人間の幸福について何と僅かしか知っていないことか！ なぜかといって、幸福と不幸とは姉妹であり双生児であって、そろって大きく育ってゆくか、あるいは君たちの場合の… https://t.co/AdcPbnzqAy', ' 人間って………', ' have less &amp; do more be more ;have 経済から do more, be more経済に移行すれば両立できそうですが、いかがでしょうか？', ' @r_hashimoto 経済成長は、環境破壊をしない方向へ。\n環境問題を考えると、もう足るを知る状態にならないといけないですよね。\n地球は永遠じゃないです。', ' マズローの欲求階層説のように常に階層があるから幸福と進歩が生まれると思います。\n相対的な幸福ですね。\n幸福について考えさせられました。\nありがとうございます^ ^', ' GNPへ指標改正☆彡', ' 経済成長はほどほどで、もういんじゃないかなーと、最近思ってきました。', ' ほぼ全ての人は幸せになれないという事では、、、、？🤔', ' 経済成長しなくてもうまくやっていくことってできないんですか？\n経済成長って一体どこに向かっているのか、宗教みたいに思えてきました', ' 今、何をすべきか、とてもわかりやすいですね！\nいつも、ありがとうございます。']"
2,経済成長しているのに格差が拡大している、という言い方がされますけどむしろ逆で、経済成長のために格差が必要だということでしょう。経済活動は「安く買って、高く売る」という行為なので「二つの境界」が必要になります。格差はその境界を生み出すために必要になる、ということです。,"[' そして、経済成長に必要な格差が臨界点を超えて拡大すると政治的に不安定さが増し経済成長が損なわれ始める。この臨界点近辺におけるマネジメントが難しい。', ' 幸せ？=物で心が満たされる？\n物で満たされた心の行き先？\n自己重要感、承認欲求\n居場所、約割、39指数\n精神格差を大麻で埋める？\n修験道、\n居場所の海外SNS展開☆彡\nフリーJキャラクターアバター\n即時翻訳チャット。', ' 経済成長には格差が必要', ' 運動会の赤組と白組のように、人間の男性と女性のように、何かを二つのグループに切り分けて「二つの境界」を設けることで二項対立関係となり、必ず対立や格差を生んでしまう。組織を細分化して多グループ化するベン… https://t.co/KBMvXW8CNM', ' 価値を産み出すことも含まれると思います。', ' 確かに。みんな同じだったら、何も起きない世の中になりそうですね。']"
3,日本の労働生産性の低さを批判する人はたくさんいますが労働生産性は「失業の問題」と表裏一体だということは意識した方が良いと思います。経済学者のタイラー・コーエンは米国の00年代の労働生産性の向上を「賃金に見合う生産性を発揮できない人を大量に解雇したから」と結論づけています。,"[' 膿を出すのは、早い方がいいですね！', ' 社内失業者を取り除くと失業率はアップしますが生産性はあがりますからね。', ' 分母に混ざっている「見合わない人たち」を減すると\n成果が変わらなくても計算上生産性は改善する\n\nその減したのを、どこに持っていくかが問題だが\nいったん労働市場外に出すなら\nそれは社会問題として解決されることになるのかな', ' @tabbata 読み直してようやく理解した…\n\n知恵のあるものは頭を使え\n苦手なものは身体を使え\nどちらも嫌なら、去れ\n\n上は以前訪問した企業に貼ってあったスローガン。古臭いけどまあ、そういう事なんだよなぁ', ' バナナ農園のタイとフィリピンの比較を思い出しました。欧米プランテーションのフィリピン効率良いけどタイは家族経営で親類縁者全員雇用します。']"
4,微妙な違和感を無視して押し切るとやっぱりいい結果って出ないものですね。直面すれば「なんで！」と感情的になってしまうトラブルのほとんどはよくよく振り返ってみれば決断の時に「微妙な違和感」があったことを思い出す。いつも「風が吹きぬける感覚があるか」を大事にしたい。,"[' たしかに！\u3000私もその違和感をまいっかぁとしない様に心掛けていて、ポリシーの一つです。一つボタンを掛け違えると、どんどんどんどんおかしくなりますよね', ' 山口さんこんにちは。いつも心の澱をサッと拭って下さるツイートありがとうございます！\nすみません、「風が吹き抜ける感覚」が気になったのですが、もう少し詳しくお聞きしたいです！', ' 授業中に漫画読んで成績が思いどおりにいかず、それを何年も経ってこんなとこでウジウジ恨み節晒してるからだろ。', ' 本当にそうです。\n中途半端でなんか心に少しでも引っかかってしまった感覚は結構のちにあぁっやっぱ！\n\nみたいな感じで現れます！\n\n感覚を大事にしていきたいです！', ' 「直感」という言葉が相応しいと思いました。非科学的だと一掃されて来ましたが、よくよく考えてみると本人の人生分のビッグデータから生産された「最高精度のコンパス」なんですよね。\nだから、一度でもズレた道を… https://t.co/TptbMS0t23']"
5,山の頂上付近では乗り越え難い差に見える百メートルの高低差も山の裾野から見上げれば「同じ場所」でしかありません。少し「引いて」考えてみる。,"[' 「引いて」考える思考は、学校教育にこそ必要ですね。もしもこの思考を子供達が持つ事が出来れば、人間関係のの苦しみが減る気がします。\nクラス全員が自分を嫌いだと思っていても、本当に嫌ってるのは案外1、2人… https://t.co/gmh1DTXJtx', ' 逆も然りですね。', ' なんでも客観的に見る事が大事ですね']"
6,いろんな変化が起きて「運が悪い」と嘆いてる人が多いようですが、異常だったことが当たり前に戻りつつあるだけだ、と考えた方が良いと思います。,"[' 親のすねかじりからの自立。', ' ウイルスが動物の体の中で進化して全人間の脅威になる、って、全然いつでも起りうることだし、割りと簡単に思いつくことなのに、逆に今まで無さすぎたよね。そっちのほうが不思議に思うわ、よく考えると。', ' 京都大学の藤井聡教授が科学的に「運」を解明されていました。\n「自分→家族→友人→知人→他人」と関心の範囲が広がれば比例して運も大きくなる。範囲と人口は比例するので、至極当然の理論ではありますが、昨今の… https://t.co/C5EiTGOWQz', ' 過剰だったものが、正常にもどった感ですね😊✨', ' 原点回帰+アルファー☆彡', ' こんな変化のある時代。多動の私にとっては天国です。', ' 偉そうに説く訳ではないですが、今まで良い環境だったことが当たり前になり過ぎて悪く感じているだけで、今すべきは改善に向けて取り組んでいる全ての企業や医療機関、人に感謝をして有り難みをしっかり感じることが大切だと思います。']"
7,学校ではチャイムが鳴ると科目が切り替わり、このリズムに同期する忍耐力と、これに反抗することの無力感を子供に植え付けます。これは何のトレーニングかというと、元々は工場労働者を育てるための仕組みなわけです。自分のリズムを持たないロボット人間を製造する仕組みです。,"[' 僕はたまたまかもしれないけど\nチャイムで半ば強制的に時間を\n区切ってもらえることで、\n過集中にストップがかかり、\n助かっていました。\n\nそれぞれの合う合わないに\nよって選択できるといいと\n思います。… https://t.co/2UcMzswxyw', ' だからかどうかわからんが、母校はチャイムなかった。\n子どもたちの行ってた学校にもなかった。\n\n自分がロボ人間でないかどうかも…わからん。', ' 新入社員研修で一週間体験で働いた金属加工の工場を思い出した。\n休憩はチャイムの鳴るお昼休みと3時にあるだけ。\n他の時間は金属を削る単純作業。\n\nあと一週間続いてたら、会社辞めてたと思う。', ' うーん、ちょっと無理ある気が。\n国語や算数・社会・体育など網羅性ある教科を、理科なら年間105時間、子供の集中力の最大公約数でプランしてるのかと。', ' 毎朝アラーム鳴らしまくって起きてる身としては、どうしたらいいかわからないです。更に言えば、医者も食事はある程度決まった時間に取れと言うし。会社で働いているのも元はと言えば9時5時生活を送りたかったから。でも、ずっと結局フレックスなんですけどね。', ' 穿った見方ですみません。ではどういう学校がロボット人間を産み出さないのでしょうか？よくいわれてますけどじゃあどういうのが理想なんでしょうか？教育内容でなくインフラというかシステムに問題ありならどうやっ… https://t.co/iBdCZXDCr1', ' パブロフの犬を思い出します。\nではどうすれば良いのか？何かのきっかけが無ければダラダラ続けてしまうし、次の行動をすぐに取りたい人にとってはチャイムも効率が良い気がします。！？？ということは今の学習のや… https://t.co/n8MmxSIrU7', ' そうです、何と高校の現国で先生が、チャイムが鳴ることについて、「疎外された労働」「ミシェル・フーコー」とキーワードだけでしたが教えてくれました。\n本当は教えたらアカンねんけど、と言っておられました。', ' 「ロボットになろう」\nby坂本慎太郎', ' @tabbata うわぁ、そうだったのか…\nなんとなく規律が身について良いのかくらいに思っていたけれど、よく考えてみると変なシステムですもんね。\nそんな歴史があったとは…\nある程度規則正しく…も確かに押し付けですね…', ' 工場労働者でした、何かいらっとする表現ですね！', ' 昼になったら給食ってのも、なんかね。。\nお腹が空いたときに食べたいもの食べたい', ' 確かに(*´з`)旧時代的な「管理」手法ですよね、染み込ませるというか。興味や関心、さらに深堀、議論などは一切無視。小中学生くらいなら半分くらいは、そういう育て方でも良いのに＞高校大学はさらに専門的に。', ' 息子の小学校は公立ですがチャイムありませーん(^ー^)', ' 岡本太郎さんの作品「重工業(1949年)」を連想します。歯車に回される人間が描かれていますが、人間は科学の発展に反比例して「人間」としては確実に退化していますね。\nこの状況を70年前に見抜いた岡本太郎… https://t.co/XdeB5YCdPo', ' @tabbata なるほどおと思いました。\n昔の人がそこまで計算してたとは思えないですが、時間をチャイムで区切るという発想がよく考えたら古いですねー音はポップになりましたけど。\n\nそこまで考えたことがなかったなー\n\n山口さんはインテリパンクですね。', ' チャイムも同感ですが…ベルトコンベアー型の仕組みって表現は、上手いなって思います。', ' 親としては、きちんとできてほしいような、でも好きなことに集中しのびのびと時間の枠を超えて学習できるように変革したいような、複雑な気持ち。でも今だにチャイムスタイルって！さすがに古すぎ？！']"
8,最近「都市のリズム」がら少し変わってきたと思うんですよね。欧州の都市に時計塔が整備されたのは14世紀のことですけど、そうすることでリズムが同期できるようになったわけです。それから七百年をかけて、都市のリズムが音楽でいうポリリズムの… https://t.co/678t6HkFm6,"[' それはそもそも都市が前提で、都市のなかで自分の時間を持つことが実際、最高の贅沢。田舎だと、そもそも時間がゆっくり、自分もゆっくりで、都市での贅沢を味わうことば困難。つまり田舎とは「退屈」なんです(都市から行く「休息」の場としては意義ありますが)', ' 少しずれますが、地方も含む都市の資本とは、文化（「文化資本」と定義）も含まれるという「エビデンス」が出ています。\nhttps://t.co/uM6UNKY3eB']"
9,私が本当に腹からいいたいことは、仕事そのものは立派なものだという信念が、多くの害悪をこの世にもたらしているということと、幸福と繁栄に至る道は、組織的に仕事を減らしていくことにある、ということである。バートランド・ラッセル「怠惰への賛歌」p13,[' 組織が成立していれば。日本企業の、いえ日本全体の組織作りを根本から見直さないと！']
